Date,Open,High,Low,Close,Adj Close,Volume
01/02/1993,43.96875,45.125,42.8125,44.40625,26.075027,5417600
01/03/1993,44.5625,45.84375,44.21875,45.1875,26.533752,3019200
01/04/1993,45.25,45.25,43.28125,44.03125,25.976923,2697200
01/05/1993,44.09375,45.65625,43.84375,45.21875,26.677525,1808000
01/06/1993,45.375,45.8125,44.21875,45.0625,26.585329,3438000
01/07/1993,45.125,45.21875,44.15625,44.84375,26.643789,6117600
01/08/1993,44.90625,46.5625,44.84375,46.5625,27.664978,5440100
01/09/1993,46.40625,46.59375,44.8125,45.9375,27.293633,4369900
01/10/1993,45.875,47.15625,45.71875,46.84375,28.005491,6972900
01/11/1993,46.78125,47,45.53125,46.34375,27.706566,5351100
01/12/1993,46.59375,47.15625,46.375,46.59375,27.856039,6128000
01/01/1994,46.59375,48.3125,46.40625,48.21875,29.024876,6837100
01/02/1994,48.15625,48.28125,46.5625,46.8125,28.178383,10974400
01/03/1994,46.8125,47.3125,43.53125,44.59375,26.842836,14705500
01/04/1994,43.34375,45.359375,43.34375,45.09375,27.30039,11429000
01/05/1994,45.09375,45.9375,44.171875,45.8125,27.735535,8545100
01/06/1994,45.703125,46.5625,44,44.46875,26.921989,10352700
01/07/1994,44.6875,46.046875,44.375,45.90625,27.97603,5452100
01/08/1994,45.9375,47.984375,45.65625,47.65625,29.042505,7945800
01/09/1994,47.5,47.71875,45.734375,46.171875,28.137897,6309300
01/10/1994,46.203125,47.703125,45,47.484375,29.113764,5437600
01/11/1994,47.28125,47.328125,44.609375,45.59375,27.954578,4807300
01/12/1994,45.640625,46.40625,44.6875,45.5625,27.935396,8568500
01/01/1995,45.703125,47.234375,45.6875,47.09375,29.10449,2768000
01/02/1995,47.15625,49.15625,47,49.015625,30.292213,5954800
01/03/1995,48.96875,50.890625,48.21875,50.109375,30.968163,4538000
01/04/1995,50.09375,51.671875,50.0625,51.59375,32.058105,4395200
01/05/1995,51.546875,53.640625,51.390625,53.640625,33.329967,6986200
01/06/1995,53.40625,55.15625,52.75,54.40625,33.805698,5790900
01/07/1995,54.46875,56.703125,54.203125,56.15625,35.097977,5508200
01/08/1995,56.234375,56.796875,55.421875,56.40625,35.254215,8100100
01/09/1995,56.390625,58.90625,56.34375,58.484375,36.553059,7431600
01/10/1995,58.484375,59.1875,57.265625,58.3125,36.640171,8944800
01/11/1995,58.28125,61.203125,58.234375,60.90625,38.269939,8841700
01/12/1995,60.984375,62.796875,60.578125,61.484375,38.63319,9816800
01/01/1996,61.40625,63.6875,59.640625,63.671875,40.255039,10661800
01/02/1996,63.609375,66.6875,63.4375,63.875,40.383457,14850400
01/03/1996,64.640625,65.96875,62,64.6875,40.897125,19022700
01/04/1996,65,65.8125,62.125,65.390625,41.525272,14999300
01/05/1996,65.375,68.4375,63.078125,66.875,42.467915,17453200
01/06/1996,66.890625,68.5,66.15625,67.109375,42.616745,16871800
01/07/1996,67.28125,67.703125,60.375,64.09375,40.917404,28811500
01/08/1996,64.15625,67.34375,64.0625,65.328125,41.705421,15593100
01/09/1996,64.46875,69.25,64.375,68.625,43.810143,17216100
01/10/1996,68.703125,71.625,68.4375,70.84375,45.459347,14791800
01/11/1996,70.984375,76.6875,70.265625,76.015625,48.778053,24089700
01/12/1996,75.921875,76.578125,71.875,73.84375,47.384388,34952800
01/01/1997,74.375,79.6875,72.75,78.40625,50.559326,43623700
